"filename", "language", "Python", "HTML", "pip requirements", "CSS", "Database", "JavaScript", "YAML", "comment", "blank", "total"
"c:\data\Gp_workplace\main\src\social\database\migrations\0011_alter_notification_time_read_and_more.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\data\Gp_workplace\main\src\social\database\migrations\0012_notification_source_name.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\data\Gp_workplace\main\src\social\database\migrations\0013_alter_thread_delete_date_alter_thread_seed_and_more.py", "Python", 22, 0, 0, 0, 0, 0, 0, 1, 6, 29
"c:\data\Gp_workplace\main\src\social\database\migrations\0014_alter_particpant_creation_date_and_more.py", "Python", 22, 0, 0, 0, 0, 0, 0, 1, 6, 29
"c:\data\Gp_workplace\main\src\social\database\migrations\0015_alter_message_delete_date_alter_message_is_read_and_more.py", "Python", 41, 0, 0, 0, 0, 0, 0, 1, 6, 48
"c:\data\Gp_workplace\main\src\social\database\migrations\0016_alter_group_description_alter_group_name.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\data\Gp_workplace\main\src\social\database\migrations\0017_group_grouppfp.py", "Python", 13, 0, 0, 0, 0, 0, 0, 1, 6, 20
"c:\data\Gp_workplace\main\src\social\database\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\database\models.py", "Python", 307, 0, 0, 0, 0, 0, 0, 44, 40, 391
"c:\data\Gp_workplace\main\src\social\database\static\css\chat.css", "CSS", 0, 0, 0, 231, 0, 0, 0, 1, 5, 237
"c:\data\Gp_workplace\main\src\social\database\static\css\chat.js", "JavaScript", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\data\Gp_workplace\main\src\social\database\static\css\homepage.css", "CSS", 0, 0, 0, 207, 0, 0, 0, 16, 14, 237
"c:\data\Gp_workplace\main\src\social\database\static\css\homepage.js", "JavaScript", 0, 0, 0, 0, 0, 184, 0, 6, 13, 203
"c:\data\Gp_workplace\main\src\social\database\static\css\js.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 6, 24, 55
"c:\data\Gp_workplace\main\src\social\database\static\css\notifnum.js", "JavaScript", 0, 0, 0, 0, 0, 21, 0, 1, 1, 23
"c:\data\Gp_workplace\main\src\social\database\static\css\prof.css", "CSS", 0, 0, 0, 2042, 0, 0, 0, 0, 385, 2427
"c:\data\Gp_workplace\main\src\social\database\static\css\profyd.css", "CSS", 0, 0, 0, 2062, 0, 0, 0, 0, 388, 2450
"c:\data\Gp_workplace\main\src\social\database\static\css\sec.css", "CSS", 0, 0, 0, 1674, 0, 0, 0, 0, 369, 2043
"c:\data\Gp_workplace\main\src\social\database\static\css\suStyle.css", "CSS", 0, 0, 0, 139, 0, 0, 0, 3, 2, 144
"c:\data\Gp_workplace\main\src\social\database\static\images\js.js", "JavaScript", 0, 0, 0, 0, 0, 25, 0, 6, 24, 55
"c:\data\Gp_workplace\main\src\social\database\tests.py", "Python", 2, 0, 0, 0, 0, 0, 0, 1, 1, 4
"c:\data\Gp_workplace\main\src\social\database\urls.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\data\Gp_workplace\main\src\social\database\views.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\data\Gp_workplace\main\src\social\db.sqlite3", "Database", 0, 0, 0, 0, 3474, 0, 0, 0, 55, 3529
"c:\data\Gp_workplace\main\src\social\main\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\main\admin.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\data\Gp_workplace\main\src\social\main\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\data\Gp_workplace\main\src\social\main\forms.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\data\Gp_workplace\main\src\social\main\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\data\Gp_workplace\main\src\social\main\models.py", "Python", 1, 0, 0, 0, 0, 0, 0, 1, 2, 4
